id,satisfaction,satisfaction score,voice of customer
28586,neutral or dissatisfied,4,NIL
28620,neutral or dissatisfied,3,NIL
28628,neutral or dissatisfied,4,NIL
28634,neutral or dissatisfied,4,NIL
28638,neutral or dissatisfied,4,I felt a deep sense of disappointment and frustration due to the flight's excessive departure delay.
28639,neutral or dissatisfied,4,NIL
28669,neutral or dissatisfied,4,NIL
28682,neutral or dissatisfied,3,NIL
28684,neutral or dissatisfied,3,NIL
28688,neutral or dissatisfied,3,NIL
28692,neutral or dissatisfied,3,The airline did not offer any compensation or alternative arrangements for inconveniences faced during the flight.
28696,neutral or dissatisfied,3,I received my bag with a strong odor or unpleasant smell.
28704,neutral or dissatisfied,4,NIL
28733,neutral or dissatisfied,1,The airline did not provide any alternative flight options during inclement weather.
28740,neutral or dissatisfied,3,NIL
28743,neutral or dissatisfied,4,NIL
28758,neutral or dissatisfied,4,"The flight attendants didn't offer any hot beverage options during the flight, depriving passengers of choices."
28786,neutral or dissatisfied,4,NIL
28799,neutral or dissatisfied,4,NIL
28805,neutral or dissatisfied,3,NIL
28815,neutral or dissatisfied,3,NIL
28873,neutral or dissatisfied,4,NIL
28878,neutral or dissatisfied,3,NIL
28880,neutral or dissatisfied,4,NIL
28908,neutral or dissatisfied,3,NIL
28911,neutral or dissatisfied,4,NIL
28917,neutral or dissatisfied,4,"The legroom was insufficient for a long-haul flight, considering the high cost of the ticket."
28918,neutral or dissatisfied,3,"The restrooms on the aircraft were unclean, creating an unpleasant environment."
28921,neutral or dissatisfied,3,NIL
28930,neutral or dissatisfied,3,The cabin temperature was too hot throughout the flight.
28932,neutral or dissatisfied,3,NIL
28935,neutral or dissatisfied,3,NIL
28946,neutral or dissatisfied,4,NIL
28948,neutral or dissatisfied,3,The flight lacked proper seating arrangements for families.
28954,neutral or dissatisfied,3,NIL
28957,neutral or dissatisfied,3,I found unclean or sticky surfaces on the seat recline buttons.
28960,neutral or dissatisfied,4,NIL
28965,neutral or dissatisfied,3,NIL
28971,neutral or dissatisfied,4,NIL
28975,neutral or dissatisfied,3,NIL
28982,neutral or dissatisfied,4,NIL
28984,neutral or dissatisfied,4,NIL
28995,neutral or dissatisfied,4,NIL
28999,neutral or dissatisfied,3,"The loyalty program had complicated rules and restrictions, making it difficult to enjoy the benefits."
29001,neutral or dissatisfied,3,NIL
29007,neutral or dissatisfied,4,NIL
29009,neutral or dissatisfied,3,NIL
29013,neutral or dissatisfied,4,NIL
29016,neutral or dissatisfied,3,NIL
29051,neutral or dissatisfied,4,NIL
29060,neutral or dissatisfied,3,NIL
29073,neutral or dissatisfied,4,NIL
29078,neutral or dissatisfied,3,NIL
29079,neutral or dissatisfied,4,NIL
29085,neutral or dissatisfied,3,NIL
29091,neutral or dissatisfied,3,NIL
29093,neutral or dissatisfied,3,NIL
29106,neutral or dissatisfied,3,NIL
29119,neutral or dissatisfied,3,NIL
29127,neutral or dissatisfied,4,NIL
29142,neutral or dissatisfied,4,NIL
29158,neutral or dissatisfied,4,I had to search for available baggage carts as there were none readily accessible.
29160,neutral or dissatisfied,4,NIL
29164,neutral or dissatisfied,3,NIL
29168,neutral or dissatisfied,3,NIL
29171,neutral or dissatisfied,3,NIL
29200,neutral or dissatisfied,3,NIL
29201,neutral or dissatisfied,3,NIL
29209,neutral or dissatisfied,3,NIL
29229,neutral or dissatisfied,4,NIL
29233,neutral or dissatisfied,4,NIL
29244,neutral or dissatisfied,4,NIL
29249,neutral or dissatisfied,4,NIL
29254,neutral or dissatisfied,3,NIL
29266,neutral or dissatisfied,3,NIL
29270,neutral or dissatisfied,3,NIL
29272,neutral or dissatisfied,3,NIL
29278,neutral or dissatisfied,3,NIL
29280,neutral or dissatisfied,4,NIL
29286,neutral or dissatisfied,3,NIL
29289,neutral or dissatisfied,4,NIL
29291,neutral or dissatisfied,4,NIL
29294,neutral or dissatisfied,4,NIL
29296,neutral or dissatisfied,3,NIL
29309,neutral or dissatisfied,3,NIL
29320,neutral or dissatisfied,3,NIL
29323,neutral or dissatisfied,4,NIL
29350,neutral or dissatisfied,4,NIL
29352,neutral or dissatisfied,3,NIL
29375,neutral or dissatisfied,4,NIL
29383,neutral or dissatisfied,4,NIL
29387,neutral or dissatisfied,3,"I was disappointed with the lack of clear instructions during the onboard entertainment system setup, resulting in confusion and wasted time."
29396,neutral or dissatisfied,4,NIL
29398,neutral or dissatisfied,4,NIL
29400,neutral or dissatisfied,4,NIL
29401,neutral or dissatisfied,3,NIL
29419,neutral or dissatisfied,3,The flight attendant was unresponsive and seemed disengaged.
29425,neutral or dissatisfied,3,I experienced a lack of variety and options in the onboard menu.
29442,neutral or dissatisfied,3,NIL
29448,neutral or dissatisfied,3,NIL
29461,neutral or dissatisfied,3,NIL
29483,neutral or dissatisfied,3,NIL
29484,neutral or dissatisfied,4,NIL
29487,neutral or dissatisfied,3,NIL
29488,neutral or dissatisfied,4,NIL
29491,neutral or dissatisfied,3,NIL
29494,neutral or dissatisfied,3,NIL
29522,neutral or dissatisfied,3,NIL
29523,neutral or dissatisfied,4,NIL
29525,neutral or dissatisfied,4,NIL
29535,neutral or dissatisfied,3,NIL
29594,neutral or dissatisfied,3,NIL
29599,neutral or dissatisfied,4,NIL
29601,neutral or dissatisfied,4,NIL
29603,neutral or dissatisfied,4,NIL
29606,neutral or dissatisfied,3,NIL
29607,neutral or dissatisfied,4,NIL
29616,neutral or dissatisfied,4,NIL
29619,neutral or dissatisfied,3,NIL
29628,neutral or dissatisfied,3,NIL
29633,neutral or dissatisfied,3,NIL
29638,neutral or dissatisfied,4,NIL
29657,neutral or dissatisfied,3,NIL
29667,neutral or dissatisfied,3,NIL
29670,neutral or dissatisfied,4,NIL
29682,neutral or dissatisfied,3,NIL
29684,neutral or dissatisfied,4,NIL
29694,neutral or dissatisfied,3,NIL
29703,neutral or dissatisfied,4,NIL
29721,neutral or dissatisfied,4,NIL
29726,neutral or dissatisfied,3,The flight attendant neglected to offer beverage refills to passengers.
29774,neutral or dissatisfied,3,NIL
29778,neutral or dissatisfied,3,NIL
29780,neutral or dissatisfied,4,NIL
29817,neutral or dissatisfied,4,NIL
29842,neutral or dissatisfied,4,NIL
29859,neutral or dissatisfied,3,I felt a wave of disappointment and anger as the flight departure was continuously delayed.
29871,neutral or dissatisfied,3,NIL
29875,neutral or dissatisfied,3,NIL
29883,neutral or dissatisfied,3,NIL
29900,neutral or dissatisfied,4,NIL
29902,neutral or dissatisfied,4,NIL
29928,neutral or dissatisfied,3,NIL
29937,neutral or dissatisfied,3,NIL
29940,neutral or dissatisfied,4,NIL
29942,neutral or dissatisfied,3,NIL
29945,neutral or dissatisfied,4,"The delayed flight arrival disrupted my plans, and I felt inconvenienced and dissatisfied."
29946,neutral or dissatisfied,4,I found the food to be poorly seasoned and lacking flavor.
29959,neutral or dissatisfied,3,NIL
29964,neutral or dissatisfied,4,NIL
29970,neutral or dissatisfied,4,NIL
29972,neutral or dissatisfied,4,NIL
29979,neutral or dissatisfied,4,NIL
29990,neutral or dissatisfied,3,"I faced difficulties in requesting special assistance for elderly passengers, making their travel experience challenging."
29991,neutral or dissatisfied,4,"The flight attendants didn't enforce proper mask-wearing, compromising the safety of passengers."
29993,neutral or dissatisfied,4,NIL
29998,neutral or dissatisfied,4,NIL
30004,neutral or dissatisfied,4,NIL
30005,neutral or dissatisfied,4,NIL
30006,neutral or dissatisfied,4,Lack of onboard reading material options.
30010,neutral or dissatisfied,4,NIL
30011,neutral or dissatisfied,4,NIL
30012,neutral or dissatisfied,4,NIL
30018,neutral or dissatisfied,3,NIL
30020,neutral or dissatisfied,4,NIL
30022,neutral or dissatisfied,4,NIL
30023,neutral or dissatisfied,4,NIL
30027,neutral or dissatisfied,3,NIL
30030,neutral or dissatisfied,3,NIL
30032,neutral or dissatisfied,4,NIL
30034,neutral or dissatisfied,3,NIL
30040,neutral or dissatisfied,3,NIL
30049,neutral or dissatisfied,3,NIL
30054,neutral or dissatisfied,3,NIL
30064,neutral or dissatisfied,3,NIL
30065,neutral or dissatisfied,4,NIL
30074,neutral or dissatisfied,4,NIL
30077,neutral or dissatisfied,4,NIL
30098,neutral or dissatisfied,4,NIL
30104,neutral or dissatisfied,3,NIL
30108,neutral or dissatisfied,3,"The airline's boarding gate was poorly organized, with limited seating and inadequate information displays."
30110,neutral or dissatisfied,3,NIL
30121,neutral or dissatisfied,4,The takeoff and taxi phase took forever. If I wanted to sit in a taxi I would've just taken an Uber or something.
30122,neutral or dissatisfied,3,NIL
30130,neutral or dissatisfied,3,NIL
30137,neutral or dissatisfied,3,NIL
30144,neutral or dissatisfied,3,NIL
30147,neutral or dissatisfied,3,NIL
30154,neutral or dissatisfied,4,The landing and departure phase took an unreasonably long time. It felt like I was stuck on the plane forever.
30168,neutral or dissatisfied,4,NIL
30170,neutral or dissatisfied,4,NIL
30182,neutral or dissatisfied,3,NIL
30195,neutral or dissatisfied,3,Lack of entertainment options for children.
30207,neutral or dissatisfied,4,NIL
30210,neutral or dissatisfied,4,NIL
30222,neutral or dissatisfied,3,NIL
30233,neutral or dissatisfied,4,NIL
30237,neutral or dissatisfied,4,NIL
30243,neutral or dissatisfied,4,NIL
30250,neutral or dissatisfied,3,NIL
30264,neutral or dissatisfied,4,I was emotionally drained by the lack of empathy and understanding from the airline staff.
30265,neutral or dissatisfied,4,NIL
30271,neutral or dissatisfied,3,"The air vents above the seats were not functioning correctly, affecting the airflow and temperature."
30282,neutral or dissatisfied,4,NIL
30304,neutral or dissatisfied,4,NIL
30306,neutral or dissatisfied,3,NIL
30307,neutral or dissatisfied,3,NIL
30327,neutral or dissatisfied,3,"The flight arrived much later than expected, causing inconvenience."
30374,neutral or dissatisfied,4,NIL
30375,neutral or dissatisfied,4,NIL
30379,neutral or dissatisfied,3,NIL
30387,neutral or dissatisfied,3,NIL
30395,neutral or dissatisfied,3,NIL
30427,neutral or dissatisfied,4,NIL
30438,neutral or dissatisfied,4,The air crew displayed a lack of empathy towards passenger discomfort.
30466,neutral or dissatisfied,4,NIL
30471,neutral or dissatisfied,3,NIL
30479,neutral or dissatisfied,4,NIL
30482,neutral or dissatisfied,4,NIL
30487,neutral or dissatisfied,4,NIL
30491,neutral or dissatisfied,3,NIL
30492,neutral or dissatisfied,4,NIL
30494,neutral or dissatisfied,4,NIL
30495,neutral or dissatisfied,4,NIL
30501,neutral or dissatisfied,3,NIL
30505,neutral or dissatisfied,4,NIL
30524,neutral or dissatisfied,3,NIL
30542,neutral or dissatisfied,4,NIL
30548,neutral or dissatisfied,4,NIL
30553,neutral or dissatisfied,3,"The airline failed to enforce mask-wearing protocols properly, compromising passenger safety."
30563,neutral or dissatisfied,4,NIL
30573,neutral or dissatisfied,3,NIL
30574,neutral or dissatisfied,3,NIL
30579,neutral or dissatisfied,3,NIL
30596,neutral or dissatisfied,4,NIL
30603,neutral or dissatisfied,4,NIL
30608,neutral or dissatisfied,3,NIL
30616,neutral or dissatisfied,4,NIL
30621,neutral or dissatisfied,4,NIL
30625,neutral or dissatisfied,4,NIL
30636,neutral or dissatisfied,3,NIL
30643,neutral or dissatisfied,4,NIL
30645,neutral or dissatisfied,3,NIL
30666,neutral or dissatisfied,3,NIL
30685,neutral or dissatisfied,3,NIL
30687,neutral or dissatisfied,3,NIL
30692,neutral or dissatisfied,3,"The flight announcements were unclear, leaving me confused and unsure about important details."
30694,neutral or dissatisfied,4,NIL
30699,neutral or dissatisfied,4,NIL
30718,neutral or dissatisfied,3,NIL
30728,neutral or dissatisfied,3,NIL
30732,neutral or dissatisfied,4,NIL
30734,neutral or dissatisfied,3,NIL
30735,neutral or dissatisfied,3,NIL
30741,neutral or dissatisfied,3,NIL
30748,neutral or dissatisfied,3,NIL
30762,neutral or dissatisfied,4,NIL
30772,neutral or dissatisfied,4,NIL
30776,neutral or dissatisfied,3,NIL
30778,neutral or dissatisfied,3,NIL
30786,neutral or dissatisfied,3,NIL
30793,neutral or dissatisfied,3,NIL
30796,neutral or dissatisfied,4,NIL
30804,neutral or dissatisfied,4,NIL
30819,neutral or dissatisfied,4,NIL
30831,neutral or dissatisfied,4,The absence of power outlets made it impossible to charge electronic devices.
30833,neutral or dissatisfied,4,NIL
30837,neutral or dissatisfied,4,NIL
30841,neutral or dissatisfied,4,NIL
30842,neutral or dissatisfied,3,NIL
30846,neutral or dissatisfied,4,NIL
30850,neutral or dissatisfied,4,NIL
30854,neutral or dissatisfied,4,NIL
30867,neutral or dissatisfied,4,NIL
30872,neutral or dissatisfied,3,NIL
30873,neutral or dissatisfied,3,NIL
30878,neutral or dissatisfied,3,NIL
30885,neutral or dissatisfied,3,NIL
30917,neutral or dissatisfied,3,NIL
30921,neutral or dissatisfied,4,NIL
30925,neutral or dissatisfied,4,NIL
30939,neutral or dissatisfied,4,NIL
30941,neutral or dissatisfied,4,NIL
30952,neutral or dissatisfied,3,"The in-flight Wi-Fi was slow and unreliable, failing to meet my expectations."
30978,neutral or dissatisfied,4,NIL
30983,neutral or dissatisfied,4,NIL
30986,neutral or dissatisfied,4,NIL
30989,neutral or dissatisfied,3,NIL
31004,neutral or dissatisfied,4,NIL
31005,neutral or dissatisfied,3,NIL
31008,neutral or dissatisfied,4,NIL
31009,neutral or dissatisfied,4,The air crew was negligent in attending to passenger needs.
31012,neutral or dissatisfied,4,The airline did not offer any compensation for the delayed flight.
31026,neutral or dissatisfied,4,NIL
31043,neutral or dissatisfied,3,NIL
31050,neutral or dissatisfied,4,NIL
31051,neutral or dissatisfied,4,"The airline's website lacked user-friendly features, making it difficult to manage bookings or access important travel information."
31052,neutral or dissatisfied,3,NIL
31056,neutral or dissatisfied,4,NIL
31084,neutral or dissatisfied,3,NIL
31095,neutral or dissatisfied,4,NIL
31103,neutral or dissatisfied,3,NIL
31108,neutral or dissatisfied,3,NIL
31128,neutral or dissatisfied,3,NIL
31132,neutral or dissatisfied,3,NIL
31148,neutral or dissatisfied,4,The flight attendant was impolite and had a condescending attitude.
31151,neutral or dissatisfied,4,NIL
31163,neutral or dissatisfied,4,NIL
31166,neutral or dissatisfied,4,NIL
31173,neutral or dissatisfied,3,NIL
31180,neutral or dissatisfied,4,"The flight departure was delayed, causing frustration and inconvenience for all."
31181,neutral or dissatisfied,3,I was disappointed by the prolonged delay in our flight departure.
31194,neutral or dissatisfied,4,NIL
31197,neutral or dissatisfied,4,NIL
31203,neutral or dissatisfied,3,NIL
31208,neutral or dissatisfied,4,NIL
31225,neutral or dissatisfied,3,NIL
31227,neutral or dissatisfied,3,NIL
31231,neutral or dissatisfied,3,NIL
31236,neutral or dissatisfied,4,NIL
31242,neutral or dissatisfied,3,NIL
31245,neutral or dissatisfied,4,NIL
31246,neutral or dissatisfied,3,NIL
31276,neutral or dissatisfied,4,NIL
31277,neutral or dissatisfied,3,NIL
31280,neutral or dissatisfied,3,NIL
31290,neutral or dissatisfied,3,NIL
31296,neutral or dissatisfied,4,NIL
31298,neutral or dissatisfied,3,NIL
31313,neutral or dissatisfied,3,NIL
31324,neutral or dissatisfied,3,NIL
31326,neutral or dissatisfied,4,NIL
31335,neutral or dissatisfied,3,NIL
31340,neutral or dissatisfied,3,NIL
31352,neutral or dissatisfied,4,NIL
31387,neutral or dissatisfied,3,NIL
31398,neutral or dissatisfied,4,NIL
31403,neutral or dissatisfied,4,NIL
31411,neutral or dissatisfied,3,NIL
31416,neutral or dissatisfied,3,NIL
31419,neutral or dissatisfied,3,NIL
31421,neutral or dissatisfied,4,NIL
31423,neutral or dissatisfied,4,NIL
31436,neutral or dissatisfied,3,The flight's arrival delay ruined my entire day. I deserve compensation!
31440,neutral or dissatisfied,3,Limited legroom made the entire journey uncomfortable.
31472,neutral or dissatisfied,4,NIL
31479,neutral or dissatisfied,4,NIL
31485,neutral or dissatisfied,4,NIL
31493,neutral or dissatisfied,4,"The arrival delay had a cascading effect on my entire travel plans, as I had to reschedule connecting flights, accommodations, and activities, resulting in a major disruption to my trip."
31495,neutral or dissatisfied,2,"The wait time for the airline's shuttle service was unacceptably long. I had to wait for an excessive amount of time, which was inconvenient and made me question the airline's commitment to customer satisfaction."
31498,neutral or dissatisfied,4,NIL
31509,neutral or dissatisfied,3,NIL
31511,neutral or dissatisfied,3,I had to navigate through a crowded and chaotic baggage collection area.
31512,neutral or dissatisfied,4,NIL
31515,neutral or dissatisfied,3,NIL
31521,neutral or dissatisfied,4,NIL
31522,neutral or dissatisfied,3,The delayed flight arrival inconvenienced me and affected my overall travel experience.
31538,neutral or dissatisfied,3,NIL
31541,neutral or dissatisfied,4,NIL
31550,neutral or dissatisfied,3,NIL
31567,neutral or dissatisfied,3,NIL
31591,neutral or dissatisfied,4,The baggage claim area was chaotic and overcrowded.
31593,neutral or dissatisfied,3,NIL
31597,neutral or dissatisfied,4,NIL
31598,neutral or dissatisfied,3,NIL
31617,neutral or dissatisfied,3,NIL
31624,neutral or dissatisfied,3,NIL
31627,neutral or dissatisfied,3,"The flight attendants displayed a lack of professionalism and courtesy, making the overall experience unpleasant."
31643,neutral or dissatisfied,4,NIL
31656,neutral or dissatisfied,4,NIL
31665,neutral or dissatisfied,4,I experienced a long wait for the beverage cart to be restocked.
31666,neutral or dissatisfied,4,NIL
31673,neutral or dissatisfied,4,NIL
31674,neutral or dissatisfied,4,NIL
31677,neutral or dissatisfied,3,NIL
31679,neutral or dissatisfied,3,NIL
31683,neutral or dissatisfied,4,NIL
31686,neutral or dissatisfied,3,NIL
31687,neutral or dissatisfied,3,NIL
31688,neutral or dissatisfied,4,NIL
31694,neutral or dissatisfied,3,The flight had malfunctioning seatbelt buckles.
31697,neutral or dissatisfied,3,The airline did not provide any halal snack options.
31702,neutral or dissatisfied,3,NIL
31719,neutral or dissatisfied,3,NIL
31723,neutral or dissatisfied,4,NIL
31742,neutral or dissatisfied,3,NIL
31752,neutral or dissatisfied,4,NIL
31755,neutral or dissatisfied,4,NIL
31762,neutral or dissatisfied,3,"The airline's lack of proper communication and updates during the departure delay left passengers feeling abandoned and disregarded, with no information about when the situation would be resolved."
31770,neutral or dissatisfied,4,"The airline's ticket upgrade process was convoluted and difficult to navigate, causing frustration and difficulties in obtaining a better seat."
31781,neutral or dissatisfied,3,NIL
31782,neutral or dissatisfied,3,NIL
31796,neutral or dissatisfied,4,NIL
31799,neutral or dissatisfied,4,NIL
31809,neutral or dissatisfied,3,NIL
31816,neutral or dissatisfied,4,NIL
31830,neutral or dissatisfied,3,NIL
31836,neutral or dissatisfied,4,NIL
31848,neutral or dissatisfied,3,NIL
31851,neutral or dissatisfied,4,NIL
31855,neutral or dissatisfied,3,NIL
31863,neutral or dissatisfied,3,NIL
31868,neutral or dissatisfied,4,NIL
31889,neutral or dissatisfied,4,NIL
31892,neutral or dissatisfied,4,NIL
31894,neutral or dissatisfied,4,NIL
31954,neutral or dissatisfied,4,NIL
31956,neutral or dissatisfied,3,NIL
31960,neutral or dissatisfied,3,NIL
31961,neutral or dissatisfied,4,NIL
31987,neutral or dissatisfied,4,NIL
31993,neutral or dissatisfied,4,The lavatory trash bins were overflowing and not emptied.
31997,neutral or dissatisfied,4,NIL
31998,neutral or dissatisfied,3,NIL
32008,neutral or dissatisfied,3,NIL
32010,neutral or dissatisfied,4,NIL
32029,neutral or dissatisfied,4,NIL
32037,neutral or dissatisfied,3,NIL
32047,neutral or dissatisfied,3,NIL
32102,neutral or dissatisfied,3,NIL
32108,neutral or dissatisfied,3,NIL
32110,neutral or dissatisfied,3,NIL
32217,neutral or dissatisfied,3,NIL
32221,neutral or dissatisfied,4,I faced complications and delays in canceling or changing my flights due to restrictive policies.
32230,neutral or dissatisfied,4,NIL
32243,neutral or dissatisfied,3,NIL
32250,neutral or dissatisfied,4,The flight attendant was unhelpful and did not provide adequate service during the flight.
32262,neutral or dissatisfied,4,NIL
32300,neutral or dissatisfied,3,NIL
32316,neutral or dissatisfied,3,NIL
32320,neutral or dissatisfied,4,NIL
32331,neutral or dissatisfied,4,NIL
32336,neutral or dissatisfied,4,NIL
32368,neutral or dissatisfied,4,NIL
32386,neutral or dissatisfied,3,NIL
32387,neutral or dissatisfied,4,NIL
32390,neutral or dissatisfied,3,I felt emotionally disconnected and unimportant during the entire journey with the airline.
32414,neutral or dissatisfied,4,NIL
32419,neutral or dissatisfied,4,NIL
32422,neutral or dissatisfied,4,NIL
32426,neutral or dissatisfied,4,"The flight attendants didn't assist with overhead bin space for late-boarding passengers, causing delays and inconvenience."
32428,neutral or dissatisfied,4,NIL
32446,neutral or dissatisfied,4,NIL
32456,neutral or dissatisfied,3,NIL
32457,neutral or dissatisfied,3,NIL
32458,neutral or dissatisfied,3,NIL
32459,neutral or dissatisfied,4,NIL
32465,neutral or dissatisfied,4,I encountered unclean or poorly maintained magazine pockets.
32470,neutral or dissatisfied,3,NIL
32488,neutral or dissatisfied,4,NIL
32489,neutral or dissatisfied,4,"I was heartbroken when the airline lost my irreplaceable personal items, and their lack of urgency in resolving the issue was disheartening."
32493,neutral or dissatisfied,4,NIL
32497,neutral or dissatisfied,3,The airline did not provide clear instructions for connecting flights.
32498,neutral or dissatisfied,3,NIL
32503,neutral or dissatisfied,4,NIL
32517,neutral or dissatisfied,3,NIL
32527,neutral or dissatisfied,3,NIL
32535,neutral or dissatisfied,3,NIL
32539,neutral or dissatisfied,4,NIL
32561,neutral or dissatisfied,3,The customer service representative was uninterested in resolving my issue.
32577,neutral or dissatisfied,0,NIL
32585,neutral or dissatisfied,4,NIL
32598,neutral or dissatisfied,3,NIL
32603,neutral or dissatisfied,3,NIL
32616,neutral or dissatisfied,4,NIL
32619,neutral or dissatisfied,3,NIL
32623,neutral or dissatisfied,4,"The emotional toll of the journey was immense, and I was left questioning the airline's commitment to passenger satisfaction."
32624,neutral or dissatisfied,3,The noise level on the flight was excessive and disruptive to my comfort.
32646,neutral or dissatisfied,3,NIL
32647,neutral or dissatisfied,4,NIL
32648,neutral or dissatisfied,3,NIL
32662,neutral or dissatisfied,4,NIL
32668,neutral or dissatisfied,4,NIL
32669,neutral or dissatisfied,3,NIL
32670,neutral or dissatisfied,3,NIL
32672,neutral or dissatisfied,3,NIL
32673,neutral or dissatisfied,3,NIL
32681,neutral or dissatisfied,4,NIL
32685,neutral or dissatisfied,3,NIL
32687,neutral or dissatisfied,3,NIL
32688,neutral or dissatisfied,3,NIL
32693,neutral or dissatisfied,3,Difficulties in adding extra baggage to reservations.
32700,neutral or dissatisfied,3,NIL
32703,neutral or dissatisfied,4,NIL
32704,neutral or dissatisfied,3,The flight lacked sufficient overhead storage space.
32714,neutral or dissatisfied,4,NIL
32727,neutral or dissatisfied,4,NIL
32729,neutral or dissatisfied,4,"The baggage handling staff mishandled my artwork or paintings, resulting in irreparable damage."
32735,neutral or dissatisfied,3,NIL
32739,neutral or dissatisfied,3,NIL
32740,neutral or dissatisfied,4,NIL
32741,neutral or dissatisfied,4,I was emotionally devastated by the lack of accountability and responsibility demonstrated by the airline.
32756,neutral or dissatisfied,3,"The announcements made during the flight were unclear, and it caused confusion among passengers."
32761,neutral or dissatisfied,3,NIL
32768,neutral or dissatisfied,4,"I felt devastated and betrayed when the airline's frequent flyer program denied me access to the benefits I had earned, despite my loyalty and dedication to their services."
32773,neutral or dissatisfied,4,NIL
32782,neutral or dissatisfied,4,NIL
32793,neutral or dissatisfied,4,NIL
32816,neutral or dissatisfied,3,NIL
32817,neutral or dissatisfied,3,NIL
32818,neutral or dissatisfied,3,NIL
32823,neutral or dissatisfied,3,NIL
32828,neutral or dissatisfied,3,NIL
32849,neutral or dissatisfied,4,NIL
32855,neutral or dissatisfied,3,NIL
32859,neutral or dissatisfied,4,NIL
32861,neutral or dissatisfied,3,NIL
32873,neutral or dissatisfied,3,NIL
32875,neutral or dissatisfied,3,NIL
32901,neutral or dissatisfied,4,NIL
32905,neutral or dissatisfied,4,NIL
32911,neutral or dissatisfied,3,NIL
32917,neutral or dissatisfied,4,NIL
32919,neutral or dissatisfied,3,NIL
32922,neutral or dissatisfied,3,NIL
32924,neutral or dissatisfied,4,NIL
32947,neutral or dissatisfied,3,NIL
32950,neutral or dissatisfied,4,NIL
32956,neutral or dissatisfied,4,NIL
32957,neutral or dissatisfied,4,NIL
32959,neutral or dissatisfied,4,NIL
32960,neutral or dissatisfied,4,NIL
32966,neutral or dissatisfied,3,NIL
32989,neutral or dissatisfied,4,NIL
32990,neutral or dissatisfied,3,NIL
32995,neutral or dissatisfied,3,NIL
32999,neutral or dissatisfied,4,NIL
33002,neutral or dissatisfied,3,NIL
33011,neutral or dissatisfied,3,"The onboard restrooms ran out of essential supplies like toilet paper, inconveniencing passengers."
33018,neutral or dissatisfied,3,NIL
33019,neutral or dissatisfied,3,NIL
33022,neutral or dissatisfied,3,NIL
33038,neutral or dissatisfied,4,I experienced delays and inconvenience due to the airline's complicated and time-consuming upgrade process.
33040,neutral or dissatisfied,3,NIL
33041,neutral or dissatisfied,4,NIL
33049,neutral or dissatisfied,4,NIL
33052,neutral or dissatisfied,4,NIL
33065,neutral or dissatisfied,3,NIL
33066,neutral or dissatisfied,4,NIL
33069,neutral or dissatisfied,4,NIL
33082,neutral or dissatisfied,3,NIL
33094,neutral or dissatisfied,3,NIL
33100,neutral or dissatisfied,4,NIL
33102,neutral or dissatisfied,3,NIL
33107,neutral or dissatisfied,4,NIL
33110,neutral or dissatisfied,3,NIL
33112,neutral or dissatisfied,3,NIL
33113,neutral or dissatisfied,4,NIL
33116,neutral or dissatisfied,3,NIL
33122,neutral or dissatisfied,3,NIL
33134,neutral or dissatisfied,4,NIL
33138,neutral or dissatisfied,3,NIL
33143,neutral or dissatisfied,4,NIL
33147,neutral or dissatisfied,4,NIL
33149,neutral or dissatisfied,3,NIL
33151,neutral or dissatisfied,3,NIL
33163,neutral or dissatisfied,3,NIL
33172,neutral or dissatisfied,3,NIL
33221,neutral or dissatisfied,3,The extended delay caused me to miss an important appointment.
33231,neutral or dissatisfied,4,NIL
33232,neutral or dissatisfied,4,NIL
33234,neutral or dissatisfied,4,NIL
33240,neutral or dissatisfied,4,NIL
33241,neutral or dissatisfied,4,NIL
33259,neutral or dissatisfied,3,NIL
33269,neutral or dissatisfied,4,NIL
33305,neutral or dissatisfied,4,NIL
33310,neutral or dissatisfied,3,NIL
33319,neutral or dissatisfied,3,NIL
33330,neutral or dissatisfied,4,NIL
33333,neutral or dissatisfied,3,NIL
33335,neutral or dissatisfied,4,NIL
33348,neutral or dissatisfied,3,NIL
33353,neutral or dissatisfied,4,NIL
33357,neutral or dissatisfied,4,NIL
33362,neutral or dissatisfied,3,NIL
33381,neutral or dissatisfied,4,NIL
33386,neutral or dissatisfied,3,NIL
33390,neutral or dissatisfied,3,NIL
33402,neutral or dissatisfied,4,NIL
33420,neutral or dissatisfied,4,NIL
33425,neutral or dissatisfied,4,NIL
33427,neutral or dissatisfied,4,NIL
33433,neutral or dissatisfied,4,NIL
33437,neutral or dissatisfied,4,NIL
33445,neutral or dissatisfied,4,"The flight was bumpy, and the crew did not take appropriate measures to ensure passenger comfort."
33446,neutral or dissatisfied,3,NIL
33455,neutral or dissatisfied,4,NIL
33456,neutral or dissatisfied,3,NIL
33461,neutral or dissatisfied,3,NIL
33469,neutral or dissatisfied,3,NIL
33474,neutral or dissatisfied,4,NIL
33487,neutral or dissatisfied,4,NIL
33488,neutral or dissatisfied,4,NIL
33496,neutral or dissatisfied,4,NIL
33540,neutral or dissatisfied,3,NIL
33541,neutral or dissatisfied,3,I had to struggle with retrieving my bag from the overhead compartment due to lack of assistance.
33548,neutral or dissatisfied,3,NIL
33574,neutral or dissatisfied,3,NIL
33575,neutral or dissatisfied,3,NIL
33577,neutral or dissatisfied,4,NIL
33580,neutral or dissatisfied,3,NIL
33589,neutral or dissatisfied,4,NIL
33598,neutral or dissatisfied,4,NIL
