,topic,voice of customer,id,satisfaction,satisfaction score
424,3,The airline's lack of communication during the turbulence made the experience even more frightening and confusing.,21212,neutral or dissatisfied,3
425,0,The airline did not provide any vegan meal options.,21259,neutral or dissatisfied,4
426,8,The flight's delay in arrival disrupted my travel arrangements.,21260,neutral or dissatisfied,4
427,-1,The delayed flight departure resulted in me missing important appointments at my destination.,21278,neutral or dissatisfied,4
428,20,I received poor assistance from the airline's customer service hotline.,21292,neutral or dissatisfied,4
429,53,"The cleanliness of the airplane was below standard, and it gave an unfavorable impression.",21325,neutral or dissatisfied,3
430,50,"The flight experienced an unexpected delay, causing frustration.",21371,neutral or dissatisfied,4
431,24,"The cabin temperature was excessively hot, causing discomfort throughout the journey.",21427,neutral or dissatisfied,4
432,15,I noticed unclean or dusty surfaces on the seat armrests.,21454,neutral or dissatisfied,3
433,48,The arrival delay has cost me valuable time and money. Compensation is in order!,21503,neutral or dissatisfied,4
434,35,The flight attendants were impolite and lacked empathy when addressing passenger concerns.,21543,neutral or dissatisfied,3
435,54,"The airline's onboard restroom facilities were poorly maintained and often out of order, causing discomfort and inconvenience for passengers.",21565,neutral or dissatisfied,4
436,-1,The airline failed to provide efficient and effective customer support.,21654,neutral or dissatisfied,3
437,-1,The cabin lacked proper disposal for used coffee cups or beverage containers.,21672,neutral or dissatisfied,4
438,11,The delay in arrival disrupted my plans to surprise a loved one. Disappointed.,21682,neutral or dissatisfied,4
439,55,I received unsatisfactory service from the flight attendant.,21693,neutral or dissatisfied,3
440,9,The flight's tardiness in arrival caused unnecessary inconvenience.,21727,neutral or dissatisfied,4
441,28,"I encountered difficulties understanding the airline's complex international baggage policy, resulting in confusion and unexpected charges.",21895,neutral or dissatisfied,4
442,36,"The flight attendants didn't provide adequate assistance for passengers with mobility challenges, hindering their travel experience.",21908,neutral or dissatisfied,4
443,24,"The ventilation in the cabin was poor, making the air stuffy and uncomfortable.",21915,neutral or dissatisfied,4
444,63,I encountered a lack of staff at the baggage claim area for assistance.,21939,neutral or dissatisfied,3
445,5,I am seething with anger at this airline's lack of respect for its passengers' time!,21940,neutral or dissatisfied,4
446,21,Unhelpful and uninformed gate agents.,21995,neutral or dissatisfied,4
447,33,Limited benefits from the frequent flyer program.,22054,neutral or dissatisfied,3
448,51,The flight attendant was impolite and dismissive of my requests.,22095,neutral or dissatisfied,4
449,15,The seat recline buttons were visibly dirty or unclean.,22171,neutral or dissatisfied,3
450,0,I found the food to be poorly cooked and unappetizing.,22243,neutral or dissatisfied,3
451,14,"The flight attendants didn't address unruly or disruptive passengers, compromising the overall flight experience.",22389,neutral or dissatisfied,3
452,-1,"Despite no flight cancellations, the airline failed to provide smooth and seamless travel experience.",22504,neutral or dissatisfied,4
453,34,The airline did not provide adequate assistance for families traveling with infants.,22518,neutral or dissatisfied,3
454,33,"The frequent flyer program had limited redemption options, making it difficult to utilize my earned points.",22599,neutral or dissatisfied,4
455,-1,The lack of signage and directions within the aircraft caused confusion and difficulties in finding amenities.,22675,neutral or dissatisfied,4
456,22,I felt the airline should have provided more frequent updates on the expected duration and intensity of the turbulence to manage passenger expectations.,22692,neutral or dissatisfied,4
457,22,The bad weather made the landing rough. I expected better from such a reputable airline company.,22799,neutral or dissatisfied,4
458,0,I expected the airline to offer complimentary snacks or beverages as a small gesture of apology for the turbulent flight.,22848,neutral or dissatisfied,3
459,-1,The airline did not provide any assistance during the delayed arrival.,22915,neutral or dissatisfied,2
460,10,"The heavy rain during the flight affected visibility, and it created a sense of unease.",22965,neutral or dissatisfied,3
461,8,The delay in arrival affected my plans with friends. Upsetting and inconvenient.,22969,neutral or dissatisfied,3
462,-1,The aircraft's interior had visible dirt or grime.,22994,neutral or dissatisfied,3
463,61,"The lighting in the airplane cabin was inadequate, making it difficult to read or work.",23086,neutral or dissatisfied,3
464,15,The seat pockets were filled with trash and waste.,23092,neutral or dissatisfied,3
465,49,"The flight was delayed, causing me to miss an important connection.",23127,neutral or dissatisfied,3
466,20,I received no assistance from the airline staff when I needed it.,23221,neutral or dissatisfied,3
467,11,"Departure was postponed, causing me to miss a family gathering.",23235,neutral or dissatisfied,4
468,50,"The flight encountered unexpected delays, causing frustration.",23249,neutral or dissatisfied,4
469,30,The customer service representative was unhelpful and failed to provide a solution to my problem.,23254,neutral or dissatisfied,3
470,5,I can't believe the flight was delayed again! This airline is a complete disappointment!,23341,neutral or dissatisfied,3
471,16,"Despite having a confirmed reservation, the delayed arrival meant that I had to wait for an extended period of time before being able to retrieve my checked baggage, further adding to my frustration.",23388,neutral or dissatisfied,4
472,2,The flight's extended delay in arrival deeply affected my mood and enjoyment of the trip.,23461,neutral or dissatisfied,4
473,43,The prolonged delay in flight arrival inconvenienced me and affected my travel arrangements.,23514,neutral or dissatisfied,4
474,51,The flight attendants were unresponsive to my requests for assistance.,23532,neutral or dissatisfied,4
475,25,"The overhead storage compartments were full, and I couldn't find space for my carry-on bag.",23572,neutral or dissatisfied,4
476,2,I felt anxious and stressed due to the unexpected delays in both flight arrival and departure.,23611,neutral or dissatisfied,3
477,-1,"The delayed flight arrival disrupted my plans, and I felt inconvenienced and let down.",23692,neutral or dissatisfied,3
478,51,The flight attendants were unresponsive to passenger requests.,23694,neutral or dissatisfied,4
479,1,The delay in departure made me feel like the airline didn't care about its passengers.,23755,neutral or dissatisfied,3
480,28,I had to pay excessive baggage fees despite meeting the weight requirements.,23800,neutral or dissatisfied,3
481,46,The airline did not provide any charging ports for electronic devices.,23803,neutral or dissatisfied,4
482,13,"The overall cost of the journey, including additional fees, made the trip unreasonably expensive.",23858,neutral or dissatisfied,3
483,-1,The flight lacked proper announcement translations for international passengers.,23967,neutral or dissatisfied,4
484,57,I expected better communication and updates from the airline during the prolonged delay.,23973,neutral or dissatisfied,3
485,1,The inconsistent updates from the airline regarding the delay caused confusion and frustration.,24024,neutral or dissatisfied,4
486,0,I was served a meal with undercooked or raw food.,24115,neutral or dissatisfied,4
487,-1,The departure delay ruined my plans. The airline owes me an explanation!,24323,neutral or dissatisfied,4
488,13,The airline did not offer any complimentary entertainment options.,24358,neutral or dissatisfied,4
489,0,"The airline didn't provide any pillows or blankets for a long-haul flight, compromising comfort.",24474,neutral or dissatisfied,3
490,4,The seats were hard and uncomfortable.,24482,neutral or dissatisfied,3
491,12,"The airline did not have enough staff at the check-in counters, resulting in long queues.",24551,neutral or dissatisfied,4
492,22,I felt the airline should have provided more information about the weather conditions and potential turbulence before the flight for better preparation.,24604,neutral or dissatisfied,4
493,32,I saw mold or mildew in the lavatory or on the walls.,24622,neutral or dissatisfied,4
494,4,"There were no reclining seats on the flight, making it impossible to find a comfortable position.",24675,neutral or dissatisfied,4
495,29,The flight attendant lacked basic customer service skills and friendliness.,24723,neutral or dissatisfied,4
496,-1,The landing of the plane was so violent that I thought I was done for.,24747,neutral or dissatisfied,4
497,3,"I witnessed other passengers experiencing panic attacks during the turbulence, and the airline did not offer any support or assistance.",24822,neutral or dissatisfied,3
498,9,"The flight departure was postponed, leading to inconvenience.",24834,neutral or dissatisfied,4
499,-1,The takeoff and landing of the plane was questionable. I didn't think I would make it back home alive.,24838,neutral or dissatisfied,3
500,-1,"The flight lacked clear announcements regarding turbulence or other disruptions, leaving passengers anxious.",24937,neutral or dissatisfied,3
501,16,Delays in receiving checked baggage.,24950,neutral or dissatisfied,4
502,14,The flight attendants were inattentive and did not respond promptly to passenger requests.,25000,neutral or dissatisfied,4
503,3,"I witnessed other passengers expressing their concerns and fear during the turbulence, and the airline did not address them effectively.",25036,neutral or dissatisfied,3
504,0,The airline did not offer any complimentary snacks or drinks during delays.,25076,neutral or dissatisfied,3
505,-1,The airline's repeated delays show a complete disregard for passengers' time.,25118,neutral or dissatisfied,4
506,12,I encountered difficulties in navigating the airline's website for flight bookings.,25236,neutral or dissatisfied,3
507,21,"The airline failed to communicate gate changes effectively, causing confusion and rushing.",25323,neutral or dissatisfied,3
508,1,The airline's lack of accountability for the delay left me feeling disappointed and dissatisfied.,25390,neutral or dissatisfied,3
509,6,"Despite the expensive fare, the onboard entertainment options were outdated and limited.",25667,neutral or dissatisfied,4
510,34,The airline did not provide any extra assistance for passengers with young children.,25718,neutral or dissatisfied,3
511,28,"The airline's baggage fees were excessive, adding an unnecessary financial burden to the trip.",25960,neutral or dissatisfied,2
512,-1,The air crew did not prioritize passenger comfort and satisfaction.,26020,neutral or dissatisfied,4
513,-1,I encountered insects or pests during the flight.,26036,neutral or dissatisfied,4
514,11,"I was devastated by the significant delay in our flight departure, which had a domino effect on my plans.",26185,neutral or dissatisfied,4
515,26,The airline did not take responsibility for the mishandling of my baggage.,26193,neutral or dissatisfied,4
516,3,"I witnessed other passengers losing their balance and falling during the turbulence, and the airline did not provide immediate assistance or medical attention.",26220,neutral or dissatisfied,3
517,41,"The flight lacked proper noise insulation, resulting in discomfort.",26233,neutral or dissatisfied,4
518,35,Flight attendants displayed a lack of empathy and failed to address passenger concerns.,26312,neutral or dissatisfied,4
519,17,I received my bag with visible signs of tampering or unauthorized opening.,26348,neutral or dissatisfied,4
520,34,"I received insufficient support and guidance for my unaccompanied minor, causing anxiety and uncertainty.",26410,neutral or dissatisfied,3
521,44,The airline failed to provide a clear explanation for the delayed baggage.,26458,neutral or dissatisfied,4
522,24,The flight lacked proper air conditioning.,26487,neutral or dissatisfied,4
523,5,I am boiling with anger at the incompetence of this airline! These delays are unforgivable!,26505,neutral or dissatisfied,3
524,-1,The airline should have allowed passengers to deplane during the extended delay caused by the bad weather.,26548,neutral or dissatisfied,3
525,-1,"The airplane smelled unpleasant, and the cabin wasn't clean.",26626,neutral or dissatisfied,3
526,-1,The arrival delay demonstrated the airline's complete disregard for its passengers.,26667,neutral or dissatisfied,4
527,-1,The cabin lacked proper disposal for used newspapers or magazines.,26794,neutral or dissatisfied,3
528,37,"The airline's ticket refund process was convoluted and time-consuming, causing unnecessary stress and delays in receiving a refund.",26840,neutral or dissatisfied,4
529,10,"The turbulence was prolonged and rough, causing continuous discomfort and unease for the duration of the flight.",27074,neutral or dissatisfied,4
530,8,"Departure was postponed, affecting my plans for the day.",27109,neutral or dissatisfied,3
531,19,Inconsiderate flight attendants towards passenger comfort.,27149,neutral or dissatisfied,3
532,51,Unresponsive flight attendants to passenger requests.,27200,neutral or dissatisfied,4
533,41,The flight was noisy and disruptive.,27225,neutral or dissatisfied,4
534,21,"I found the gate area to be disorganized and lacking clear signage, causing confusion and delays in finding the correct gate.",27284,neutral or dissatisfied,4
535,16,I had to navigate through a confusing and poorly organized baggage pickup process.,27352,neutral or dissatisfied,3
536,8,The airline failed to respect my schedule with the departure delay.,27385,neutral or dissatisfied,3
537,0,"The airline provided limited in-flight snacks, leaving me unsatisfied and hungry during the journey.",27448,neutral or dissatisfied,3
538,-1,"The flight attendants displayed a dismissive attitude towards passenger complaints, ignoring their concerns.",27452,neutral or dissatisfied,3
539,-1,The airline's boarding procedure lacked proper organization and resulted in a chaotic and stressful experience for passengers.,27479,neutral or dissatisfied,3
540,-1,I experienced difficulties in rescheduling my missed flight.,27496,neutral or dissatisfied,4
541,11,"I had a time-sensitive event, but the delay in departure made it impossible to attend.",27512,neutral or dissatisfied,3
542,9,"The airplane appeared outdated, and it raised concerns about the overall safety of the aircraft.",27655,neutral or dissatisfied,4
543,3,"The turbulence was unexpected and severe, causing many passengers to scream and cry, and the airline's response was inadequate.",27687,neutral or dissatisfied,4
544,65,The delay in departure caused unnecessary waiting time and dissatisfaction.,27784,neutral or dissatisfied,4
545,59,The boarding process was delayed due to the airline's inefficient and slow passenger document verification procedures.,27790,neutral or dissatisfied,3
546,7,I was emotionally exhausted by the lack of accountability and responsibility demonstrated by the airline.,27840,neutral or dissatisfied,3
547,14,The flight attendants did not make an effort to ensure a pleasant flight experience.,27956,neutral or dissatisfied,4
548,36,The flight attendants didn't provide adequate assistance with seating or comfort for elderly passengers like myself.,27979,neutral or dissatisfied,3
549,56,Challenges in requesting seat upgrades.,27992,neutral or dissatisfied,2
550,9,The flight had a late departure due to issues with the aircraft.,28119,neutral or dissatisfied,3
551,61,Limited availability of overhead reading lights.,28144,neutral or dissatisfied,4
552,17,"The baggage handling staff mishandled my musical instrument, causing damage.",28147,neutral or dissatisfied,3
553,43,The postponed flight departure wasted my time and caused unnecessary frustration.,28171,neutral or dissatisfied,3
554,1,The lack of compensation for the delayed flight departure added to my dissatisfaction.,28210,neutral or dissatisfied,4
555,64,"The wait time at the airport restaurant was incredibly long. I had to wait for an extended period just to get a simple meal, which was frustrating and disrupted my travel schedule.",28281,neutral or dissatisfied,3
556,58,The customer service agent provided incorrect information.,28382,neutral or dissatisfied,4
557,52,I encountered unclean or soiled window frames in the cabin.,28529,neutral or dissatisfied,4
558,2,I felt a deep sense of disappointment and frustration due to the flight's excessive departure delay.,28638,neutral or dissatisfied,4
559,26,The airline did not offer any compensation or alternative arrangements for inconveniences faced during the flight.,28692,neutral or dissatisfied,3
560,17,I received my bag with a strong odor or unpleasant smell.,28696,neutral or dissatisfied,3
561,13,The airline did not provide any alternative flight options during inclement weather.,28733,neutral or dissatisfied,1
562,0,"The flight attendants didn't offer any hot beverage options during the flight, depriving passengers of choices.",28758,neutral or dissatisfied,4
563,4,"The legroom was insufficient for a long-haul flight, considering the high cost of the ticket.",28917,neutral or dissatisfied,4
564,54,"The restrooms on the aircraft were unclean, creating an unpleasant environment.",28918,neutral or dissatisfied,3
565,24,The cabin temperature was too hot throughout the flight.,28930,neutral or dissatisfied,3
566,-1,The flight lacked proper seating arrangements for families.,28948,neutral or dissatisfied,3
567,15,I found unclean or sticky surfaces on the seat recline buttons.,28957,neutral or dissatisfied,3
568,33,"The loyalty program had complicated rules and restrictions, making it difficult to enjoy the benefits.",28999,neutral or dissatisfied,3
569,25,I had to search for available baggage carts as there were none readily accessible.,29158,neutral or dissatisfied,4
570,6,"I was disappointed with the lack of clear instructions during the onboard entertainment system setup, resulting in confusion and wasted time.",29387,neutral or dissatisfied,3
571,51,The flight attendant was unresponsive and seemed disengaged.,29419,neutral or dissatisfied,3
572,6,I experienced a lack of variety and options in the onboard menu.,29425,neutral or dissatisfied,3
573,0,The flight attendant neglected to offer beverage refills to passengers.,29726,neutral or dissatisfied,3
574,2,I felt a wave of disappointment and anger as the flight departure was continuously delayed.,29859,neutral or dissatisfied,3
575,-1,"The delayed flight arrival disrupted my plans, and I felt inconvenienced and dissatisfied.",29945,neutral or dissatisfied,4
576,0,I found the food to be poorly seasoned and lacking flavor.,29946,neutral or dissatisfied,4
577,31,"I faced difficulties in requesting special assistance for elderly passengers, making their travel experience challenging.",29990,neutral or dissatisfied,3
578,-1,"The flight attendants didn't enforce proper mask-wearing, compromising the safety of passengers.",29991,neutral or dissatisfied,4
579,6,Lack of onboard reading material options.,30006,neutral or dissatisfied,4
580,-1,"The airline's boarding gate was poorly organized, with limited seating and inadequate information displays.",30108,neutral or dissatisfied,3
581,64,The takeoff and taxi phase took forever. If I wanted to sit in a taxi I would've just taken an Uber or something.,30121,neutral or dissatisfied,4
582,-1,The landing and departure phase took an unreasonably long time. It felt like I was stuck on the plane forever.,30154,neutral or dissatisfied,4
583,34,Lack of entertainment options for children.,30195,neutral or dissatisfied,3
584,7,I was emotionally drained by the lack of empathy and understanding from the airline staff.,30264,neutral or dissatisfied,4
585,24,"The air vents above the seats were not functioning correctly, affecting the airflow and temperature.",30271,neutral or dissatisfied,3
586,9,"The flight arrived much later than expected, causing inconvenience.",30327,neutral or dissatisfied,3
587,35,The air crew displayed a lack of empathy towards passenger discomfort.,30438,neutral or dissatisfied,4
588,-1,"The airline failed to enforce mask-wearing protocols properly, compromising passenger safety.",30553,neutral or dissatisfied,3
589,27,"The flight announcements were unclear, leaving me confused and unsure about important details.",30692,neutral or dissatisfied,3
590,46,The absence of power outlets made it impossible to charge electronic devices.,30831,neutral or dissatisfied,4
591,47,"The in-flight Wi-Fi was slow and unreliable, failing to meet my expectations.",30952,neutral or dissatisfied,3
592,39,The air crew was negligent in attending to passenger needs.,31009,neutral or dissatisfied,4
593,26,The airline did not offer any compensation for the delayed flight.,31012,neutral or dissatisfied,4
594,12,"The airline's website lacked user-friendly features, making it difficult to manage bookings or access important travel information.",31051,neutral or dissatisfied,4
595,19,The flight attendant was impolite and had a condescending attitude.,31148,neutral or dissatisfied,4
596,-1,"The flight departure was delayed, causing frustration and inconvenience for all.",31180,neutral or dissatisfied,4
597,40,I was disappointed by the prolonged delay in our flight departure.,31181,neutral or dissatisfied,3
598,48,The flight's arrival delay ruined my entire day. I deserve compensation!,31436,neutral or dissatisfied,3
599,4,Limited legroom made the entire journey uncomfortable.,31440,neutral or dissatisfied,3
600,-1,"The arrival delay had a cascading effect on my entire travel plans, as I had to reschedule connecting flights, accommodations, and activities, resulting in a major disruption to my trip.",31493,neutral or dissatisfied,4
601,57,"The wait time for the airline's shuttle service was unacceptably long. I had to wait for an excessive amount of time, which was inconvenient and made me question the airline's commitment to customer satisfaction.",31495,neutral or dissatisfied,2
602,-1,I had to navigate through a crowded and chaotic baggage collection area.,31511,neutral or dissatisfied,3
603,43,The delayed flight arrival inconvenienced me and affected my overall travel experience.,31522,neutral or dissatisfied,3
604,16,The baggage claim area was chaotic and overcrowded.,31591,neutral or dissatisfied,4
605,29,"The flight attendants displayed a lack of professionalism and courtesy, making the overall experience unpleasant.",31627,neutral or dissatisfied,3
606,0,I experienced a long wait for the beverage cart to be restocked.,31665,neutral or dissatisfied,4
607,4,The flight had malfunctioning seatbelt buckles.,31694,neutral or dissatisfied,3
608,0,The airline did not provide any halal snack options.,31697,neutral or dissatisfied,3
609,18,"The airline's lack of proper communication and updates during the departure delay left passengers feeling abandoned and disregarded, with no information about when the situation would be resolved.",31762,neutral or dissatisfied,3
610,56,"The airline's ticket upgrade process was convoluted and difficult to navigate, causing frustration and difficulties in obtaining a better seat.",31770,neutral or dissatisfied,4
611,32,The lavatory trash bins were overflowing and not emptied.,31993,neutral or dissatisfied,4
612,-1,I faced complications and delays in canceling or changing my flights due to restrictive policies.,32221,neutral or dissatisfied,4
613,14,The flight attendant was unhelpful and did not provide adequate service during the flight.,32250,neutral or dissatisfied,4
614,7,I felt emotionally disconnected and unimportant during the entire journey with the airline.,32390,neutral or dissatisfied,3
615,36,"The flight attendants didn't assist with overhead bin space for late-boarding passengers, causing delays and inconvenience.",32426,neutral or dissatisfied,4
616,15,I encountered unclean or poorly maintained magazine pockets.,32465,neutral or dissatisfied,4
617,42,"I was heartbroken when the airline lost my irreplaceable personal items, and their lack of urgency in resolving the issue was disheartening.",32489,neutral or dissatisfied,4
618,-1,The airline did not provide clear instructions for connecting flights.,32497,neutral or dissatisfied,3
619,30,The customer service representative was uninterested in resolving my issue.,32561,neutral or dissatisfied,3
620,7,"The emotional toll of the journey was immense, and I was left questioning the airline's commitment to passenger satisfaction.",32623,neutral or dissatisfied,4
621,41,The noise level on the flight was excessive and disruptive to my comfort.,32624,neutral or dissatisfied,3
622,28,Difficulties in adding extra baggage to reservations.,32693,neutral or dissatisfied,3
623,4,The flight lacked sufficient overhead storage space.,32704,neutral or dissatisfied,3
624,17,"The baggage handling staff mishandled my artwork or paintings, resulting in irreparable damage.",32729,neutral or dissatisfied,4
625,7,I was emotionally devastated by the lack of accountability and responsibility demonstrated by the airline.,32741,neutral or dissatisfied,4
626,27,"The announcements made during the flight were unclear, and it caused confusion among passengers.",32756,neutral or dissatisfied,3
627,7,"I felt devastated and betrayed when the airline's frequent flyer program denied me access to the benefits I had earned, despite my loyalty and dedication to their services.",32768,neutral or dissatisfied,4
628,54,"The onboard restrooms ran out of essential supplies like toilet paper, inconveniencing passengers.",33011,neutral or dissatisfied,3
629,12,I experienced delays and inconvenience due to the airline's complicated and time-consuming upgrade process.,33038,neutral or dissatisfied,4
630,-1,The extended delay caused me to miss an important appointment.,33221,neutral or dissatisfied,3
631,-1,"The flight was bumpy, and the crew did not take appropriate measures to ensure passenger comfort.",33445,neutral or dissatisfied,4
632,25,I had to struggle with retrieving my bag from the overhead compartment due to lack of assistance.,33541,neutral or dissatisfied,3
633,13,The expensive fare did not include any added convenience or personalized services.,33601,neutral or dissatisfied,3
634,1,The airline's failure to provide a satisfactory solution for the delays disappointed me.,33602,neutral or dissatisfied,3
635,34,"The airline did not provide any entertainment options for children, making the journey difficult for parents.",33608,neutral or dissatisfied,3
636,27,The airline's onboard announcements were incomprehensible.,33795,neutral or dissatisfied,3
637,13,The airline charged exorbitant prices for basic amenities like blankets and pillows.,33812,neutral or dissatisfied,3
638,15,I found unclean or smelly surfaces on the seatback trays.,33938,neutral or dissatisfied,3
639,-1,The prolonged delay in flight arrival affected my schedule and overall travel experience.,34001,neutral or dissatisfied,3
640,1,"Our flight was delayed due to a technical issue, but the lack of prompt communication from the airline about the situation left me feeling frustrated and anxious.",34003,neutral or dissatisfied,3
641,6,I was disappointed with the overall lack of onboard amenities.,34057,neutral or dissatisfied,4
642,11,"I had plans for a romantic evening, but the delay in arrival spoiled everything.",34124,neutral or dissatisfied,3
643,16,The unexplained and prolonged delay in receiving my checked baggage made me feel anxious and worried about the security of my belongings.,34152,neutral or dissatisfied,4
644,9,"The flight was delayed due to maintenance issues, which should have been addressed beforehand.",34174,neutral or dissatisfied,3
645,23,The flight delay caused inconvenience and frustration among passengers.,34232,neutral or dissatisfied,4
646,-1,"Despite the airline's promises of punctuality, the departure delay meant that I had to rush to catch a connecting flight, adding unnecessary stress to my journey.",34314,neutral or dissatisfied,4
647,-1,The flight crew did not handle a disruptive passenger situation promptly or effectively.,34345,neutral or dissatisfied,4
648,62,The airline did not provide assistance to elderly passengers with mobility issues.,34375,neutral or dissatisfied,4
649,27,"The onboard announcements were primarily made in a foreign language, causing confusion among non-native speakers.",34380,neutral or dissatisfied,4
650,61,"The overhead reading lights on the plane were not functioning, causing inconvenience during the flight.",34391,neutral or dissatisfied,4
651,20,The lack of attention to detail and the dismissive attitude of the airline staff made me question my decision to fly with them.,34396,neutral or dissatisfied,3
652,32,The lavatories were not regularly restocked with toilet paper.,34536,neutral or dissatisfied,4
653,5,I am fuming with anger! This airline's delays have completely ruined my travel experience!,34537,neutral or dissatisfied,3
654,1,The airline's lack of accountability for the delays left me disappointed and dissatisfied.,34667,neutral or dissatisfied,3
655,39,The air crew seemed untrained in handling passenger complaints and requests.,34752,neutral or dissatisfied,3
656,8,The excessive wait for flight arrival disrupted my travel plans.,34853,neutral or dissatisfied,3
657,27,"The boarding passes provided by the airline were difficult to read and understand, causing confusion during the boarding process.",34874,neutral or dissatisfied,4
658,0,"Limited selection of in-flight snacks, leaving passengers hungry and dissatisfied.",34920,neutral or dissatisfied,3
659,0,The airline did not provide any nut-free beverage options.,34988,neutral or dissatisfied,3
660,1,The airline's poor management of the delay situation left me feeling frustrated and let down.,35066,neutral or dissatisfied,3
661,43,"The delayed flight arrival threw off my entire schedule, and I felt frustrated and inconvenienced.",35105,neutral or dissatisfied,3
662,7,I felt a deep sense of frustration and dissatisfaction with the overall experience provided by the airline.,35192,neutral or dissatisfied,4
663,3,"The turbulence was so intense that it caused the cabin crew to lose control of the beverage cart, resulting in spills and potential injuries.",35238,neutral or dissatisfied,3
664,28,The airline charged exorbitant fees for additional baggage.,35248,neutral or dissatisfied,3
665,0,The airline did not offer any lactose-free snack options.,35270,neutral or dissatisfied,4
666,-1,The cabin crew did not handle a disruptive passenger situation appropriately.,35320,neutral or dissatisfied,4
667,28,"The airline charged exorbitant fees for baggage, leaving me dissatisfied with the service.",35337,neutral or dissatisfied,4
668,64,I had to wait for hours at the airport due to the flight delay. A waste of time.,35356,neutral or dissatisfied,4
669,9,The airline's negligence regarding timely departures is unacceptable.,35399,neutral or dissatisfied,3
670,-1,"I was devastated when the airline mistakenly boarded me on the wrong flight, causing distress and confusion upon arrival at the wrong destination.",35473,neutral or dissatisfied,4
671,35,The flight attendant was dismissive and showed a lack of empathy towards passenger concerns.,35496,neutral or dissatisfied,3
672,43,"My flight arrival was significantly delayed, causing inconvenience and wasted time.",35514,neutral or dissatisfied,3
673,11,The delay in arrival made me miss an opportunity to attend a major concert. Unfortunate.,35586,neutral or dissatisfied,4
674,1,The airline's neglect of timely communication during the delay led to increased frustration.,35657,neutral or dissatisfied,3
675,1,I felt frustrated and inconvenienced by the lack of clear updates during the delay.,35785,neutral or dissatisfied,4
676,-1,The flight departed earlier than scheduled without prior notification.,35793,neutral or dissatisfied,3
677,25,I had to search for a baggage cart as none were readily available.,35795,neutral or dissatisfied,3
678,9,"The flight had a late departure due to issues with the aircraft, causing inconvenience and disrupting plans.",35799,neutral or dissatisfied,3
679,15,I found unclean or sticky surfaces on the folding tray mechanisms.,35807,neutral or dissatisfied,3
680,45,"The boarding process was disorganized, leading to chaos and delays.",35857,neutral or dissatisfied,4
681,60,The staff displayed a lack of knowledge and competence in their roles.,36014,neutral or dissatisfied,4
682,1,The airline's lack of communication about the delay added to my frustration.,36020,neutral or dissatisfied,3
683,-1,Lack of signage and directions within the aircraft.,36040,neutral or dissatisfied,3
684,-1,Inadequate seating arrangements for families.,36112,neutral or dissatisfied,4
685,0,I experienced a long wait time for food and beverage service.,36154,neutral or dissatisfied,3
686,15,The seat armrests were sticky or had visible dirt.,36197,neutral or dissatisfied,3
687,0,"The airline didn't offer any complimentary amenity kits for long-haul flights, neglecting passenger comfort.",36322,neutral or dissatisfied,4
688,61,The overhead reading lights were not functioning.,36326,neutral or dissatisfied,4
689,8,The delay in departure disrupted my plans with friends. Upsetting and frustrating.,36381,neutral or dissatisfied,3
690,7,I experienced discomfort and unease during the flight due to the airline's negligence in addressing passenger needs.,36423,neutral or dissatisfied,3
691,-1,The aircraft's lavatories were not properly disinfected.,36425,neutral or dissatisfied,3
692,21,Lack of communication about gate changes.,36453,neutral or dissatisfied,4
693,25,I encountered a lack of clear communication regarding the retrieval of oversized or special baggage.,36511,neutral or dissatisfied,4
694,0,The airline did not provide any allergy-friendly meal options.,36525,neutral or dissatisfied,3
695,56,I encountered difficulties in booking seats together with my travel companions.,36529,neutral or dissatisfied,3
696,41,"The noise insulation on the flight was poor, making it difficult to rest or concentrate.",36537,neutral or dissatisfied,3
697,0,I encountered a delay in receiving my requested vegetarian or vegan meal.,36576,neutral or dissatisfied,3
698,-1,Difficulties in rescheduling missed flights.,36587,neutral or dissatisfied,4
699,0,Unsatisfactory quality of in-flight meals.,36603,neutral or dissatisfied,3
700,-1,The flight attendants did not provide clear instructions during emergencies.,36986,neutral or dissatisfied,4
701,1,"I was disappointed with the lack of compensation for the delayed flight, which caused me stress.",37023,neutral or dissatisfied,4
702,-1,"The airline didn't have adequate customer service representatives at the gate, resulting in poor assistance and support.",37045,neutral or dissatisfied,4
703,44,"The airline did not provide clear instructions for baggage claim, leading to confusion and delays.",37068,neutral or dissatisfied,4
704,21,"The boarding gate was poorly staffed, leading to delays and confusion among passengers.",37086,neutral or dissatisfied,3
705,64,The prolonged wait for flight arrival wasted a significant amount of my time.,37126,neutral or dissatisfied,4
706,2,The significant delay in flight arrival was a source of distress and disappointment for me.,37137,neutral or dissatisfied,4
707,-1,The airline did not provide proper assistance for elderly passengers.,37197,neutral or dissatisfied,3
708,30,The customer service representative was unhelpful and provided no solutions.,37248,neutral or dissatisfied,3
709,0,The airline ran out of food options before reaching my seat.,37302,neutral or dissatisfied,3
710,23,The arrival delay resulted in frustration and inconvenience among passengers.,37390,neutral or dissatisfied,3
711,-1,The extended delay caused me to miss a scheduled event.,37414,neutral or dissatisfied,4
712,24,"The airline's onboard temperature was uncomfortable, with the cabin being too hot or too cold, making it challenging to find comfort during the flight.",37417,neutral or dissatisfied,1
713,7,I expected better service and comfort for the significant amount I paid for the flight.,37444,neutral or dissatisfied,4
714,-1,The flight delay caused me to lose valuable business opportunities. Unreliable and frustrating.,37533,neutral or dissatisfied,4
